Master file FC central garden census,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sr. no,Team,Census date,Species,GBH1,GBH2,GBH3,GBH4,GBH5,GBH6,GBH7,GBH8,GBH9,GBH10,GBH11,GBH12,Height (visual estimate),Section,Remarks
1,"Ashish, Akshay",17-06-2018,Polyalthia longifolia,96.1,105.5,17.9,,,,,,,,,,15,Section1- the one with big peltophorum,
2,"Ashish, Akshay",17-06-2018,Cocos nucifera,69.9,,,,,,,,,,,,12,Section1- the one with big peltophorum,
3,"Ashish, Akshay",17-06-2018,Cocos nucifera,66.1,,,,,,,,,,,,3,Section1- the one with big peltophorum,
4,"Ashish, Akshay",17-06-2018,Putranjiva roxburghii,10.9,9,,,,,,,,,,,2,Section1- the one with big peltophorum,
5,"Ashish, Akshay",17-06-2018,Caryota urens,17,,,,,,,,,,,,2,Section1- the one with big peltophorum,
6,"Ashish, Akshay",17-06-2018,Polyalthia longifolia,28,,,,,,,,,,,,3,Section1- the one with big peltophorum,
7,"Ashish, Akshay",17-06-2018,Caryota urens,59,,,,,,,,,,,,4,Section1- the one with big peltophorum,
8,"Ashish, Akshay",17-06-2018,Putranjiva roxburghii,16,,,,,,,,,,,,2,Section1- the one with big peltophorum,
9,"Ashish, Akshay",17-06-2018,Santalum album,11,,,,,,,,,,,,1.5,Section1- the one with big peltophorum,
10,"Ashish, Akshay",17-06-2018,Peltophorum pterocarpum,305.3,,,,,,,,,,,,12,Section1- the one with big peltophorum,
11,"Ashish, Akshay",17-06-2018,Cocos nucifera,64.5,,,,,,,,,,,,4,Section1- the one with big peltophorum,
12,"Ashish, Akshay",17-06-2018,Cocos nucifera,84,,,,,,,,,,,,10,Section1- the one with big peltophorum,
13,"Ashish, Akshay",17-06-2018,Cocos nucifera,73,,,,,,,,,,,,9,Section1- the one with big peltophorum,
14,"Ashish, Akshay",17-06-2018,Cocos nucifera,91,,,,,,,,,,,,10,Section1- the one with big peltophorum,
15,"Ashish, Akshay",17-06-2018,Polyalthia longifolia,82.2,59.9,67,,,,,,,,,,6,Section1- the one with big peltophorum,
16,"Ashish, Akshay",17-06-2018,Santalum album,10,12,6,21,,,,,,,,,4,Section1- the one with big peltophorum,
17,"Ashish, Akshay",17-06-2018,Broussonetia papyrifera,64,,,,,,,,,,,,6,Section1- the one with big peltophorum,
18,"Ashish, Akshay",17-06-2018,Cycas circinalis,52,54,,,,,,,,,,,2,Section1- the one with big peltophorum,
19,"Ashish, Akshay",17-06-2018,Bambusa vulgaris,280,684,104,,,,,,,,,,5,Section1- the one with big peltophorum,No of stems for same GBH multiplied and given in GBH columns
20,"Ashish, Akshay",17-06-2018,Bambusa vulgaris,200,88,680,,,,,,,,,,6,"Section2- next to Section1, Amhitheatre side",No of stems for same GBH multiplied and given in GBH columns
21,"Ashish, Akshay",17-06-2018,Polyalthia longifolia,110.1,,,,,,,,,,,,15,"Section2- next to Section1, Amhitheatre side",
22,"Ashish, Akshay",17-06-2018,Cocos nucifera,84,,,,,,,,,,,,7,"Section2- next to Section1, Amhitheatre side",
23,"Ashish, Akshay",17-06-2018,Roystonea regia,120,,,,,,,,,,,,11,"Section2- next to Section1, Amhitheatre side",
