Master file Fergusson College Botanical Garden census,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sr. no,Team,Census date,Species,GBH1,GBH2,GBH3,GBH4,GBH5,GBH6,GBH7,GBH8,GBH9,GBH10,GBH11,GBH12,Height (visual estimate),Tag number,Remarks,
1,"Ashish, Pranav",18-05-2018,Santalum album,33,25.1,,,,,,,,,,,6,,,
2,"Ashish, Pranav",18-05-2018,Gliricidia sepium,71.1,,,,,,,,,,,,12,B1/P1-11,,
3,"Ashish, Pranav",18-05-2018,Dead (unidentified),43.2,,,,,,,,,,,,9,B1/P1-12,,
4,"Ashish, Pranav",18-05-2018,Albizia saman,290.3,,,,,,,,,,,,13,,,
5,"Ashish, Pranav",18-05-2018,Annona reticulata,67.8,,,,,,,,,,,,9,B1/P1-9,,
6,"Ashish, Pranav",18-05-2018,Sapindus laurifolius,8.7,12.5,,,,,,,,,,,3,,Was earlier unidentified,
7,"Ashish, Pranav",18-05-2018,Holoptelia integrifolia,101,,,,,,,,,,,,11,,,
8,"Ashish, Pranav",18-05-2018,Jatropha curcas,16.9,5.3,10,,,,,,,,,,4.5,,,
9,"Ashish, Pranav",18-05-2018,Jatropha curcas,9.4,7.2,,,,,,,,,,,3,,,
10,"Ashish, Pranav",18-05-2018,Hibiscus rosa-sinensis,12.5,,,,,,,,,,,,3,,,
11,"Ashish, Pranav",18-05-2018,Hibiscus rosa-sinensis,7.5,,,,,,,,,,,,2.5,,,
12,"Ashish, Pranav",18-05-2018,Jatropha curcas,36.1,,,,,,,,,,,,6,,,
13,"Ashish, Pranav",18-05-2018,Jatropha curcas,48.1,28.4,,,,,,,,,,,4.5,,,
14,"Ashish, Pranav",18-05-2018,Jatropha curcas,10.1,,,,,,,,,,,,3,,,
15,"Ashish, Pranav",18-05-2018,Manilkara hexandra,114.1,,,,,,,,,,,,13,,,
16,"Ashish, Pranav",18-05-2018,Delonix regia,42.1,,,,,,,,,,,,9,,,
17,"Ashish, Pranav",18-05-2018,Dead (unidentified),32.9,,,,,,,,,,,,7,,,
18,"Ashish, Pranav",18-05-2018,Jacaranda mimosaefolia,25.5,113.3,2.4,4.5,4,,,,,,,,13,,,
19,"Ashish, Pranav",18-05-2018,Tamarindus indica,46,,,,,,,,,,,,11,,,
20,"Ashish, Pranav",18-05-2018,Gliricidia sepium,98,,,,,,,,,,,,13,,,
21,"Ashish, Pranav",18-05-2018,Dead (unidentified),26.1,,,,,,,,,,,,4,,,
22,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,30,,,,,,,,,,,,4,,,
23,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,28.9,,,,,,,,,,,,8,,,
24,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,23,22.1,,,,,,,,,,,9,,,
25,"Ashish, Pranav",18-05-2018,Annona reticulata,27,,,,,,,,,,,,5.5,B1/P1- 31,,
26,"Ashish, Pranav",18-05-2018,Peltophorum pterocarpum,265.1,,,,,,,,,,,,15,,,
27,"Ashish, Pranav",18-05-2018,Annona squamosa,18.9,,,,,,,,,,,,3,B1/P1-27,,
28,"Ashish, Pranav",18-05-2018,Gliricidia sepium,71.1,,,,,,,,,,,,7,,,
29,"Ashish, Pranav",18-05-2018,Tamarindus indica,15,,,,,,,,,,,,3.5,,,
30,"Ashish, Pranav",18-05-2018,Cordia macleodii,74.1,,,,,,,,,,,,12,,,
31,"Ashish, Pranav",18-05-2018,Gliricidia sepium,44.5,17,27,15,6,11,16,5,17,3,8,6,5,,,
32,"Ashish, Pranav",18-05-2018,Ixora brachiata,10,,,,,,,,,,,,2.5,,,
33,"Ashish, Pranav",18-05-2018,Gliricidia sepium,67.2,,,,,,,,,,,,10,B1/P1-36,,
34,"Ashish, Pranav",18-05-2018,Tamarindus indica,47,,,,,,,,,,,,9,,,
35,"Ashish, Pranav",18-05-2018,Millingtonia hortensis,6.2,,,,,,,,,,,,2.3,,,
36,"Ashish, Pranav",18-05-2018,Gliricidia sepium,86,,,,,,,,,,,,11,,,
37,"Ashish, Pranav",18-05-2018,Dead (Sweitenia mahogany),428.5,,,,,,,,,,,,5,,main stem cut after death,
38,"Ashish, Pranav",18-05-2018,Millingtonia hortensis,98.2,,,,,,,,,,,,9,,,
